ImageNumber,CellNumber,CellID,cell_category,cell_type,cell_subtype,RoiID,image_name,cell_id,tissue_id,cell_category_regen,cell_type_regen
82,594,175_C_57_594,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",594,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,604,175_C_57_604,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",604,cords24_ocmzljpb_1,Fibroblast,mCAF
82,622,175_C_57_622,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",622,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,625,175_C_57_625,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",625,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,628,175_C_57_628,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",628,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,647,175_C_57_647,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",647,cords24_ocmzljpb_1,Fibroblast,mCAF
82,662,175_C_57_662,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",662,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,678,175_C_57_678,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",678,cords24_ocmzljpb_1,Fibroblast,mCAF
82,682,175_C_57_682,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",682,cords24_ocmzljpb_1,Fibroblast,mCAF
82,688,175_C_57_688,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",688,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,696,175_C_57_696,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",696,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,699,175_C_57_699,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",699,cords24_ocmzljpb_1,Fibroblast,mCAF
82,702,175_C_57_702,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",702,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,716,175_C_57_716,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",716,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,721,175_C_57_721,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",721,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,735,175_C_57_735,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",735,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,745,175_C_57_745,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",745,cords24_ocmzljpb_1,Fibroblast,mCAF
82,746,175_C_57_746,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",746,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,752,175_C_57_752,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",752,cords24_ocmzljpb_1,Fibroblast,mCAF
82,755,175_C_57_755,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",755,cords24_ocmzljpb_1,Fibroblast,vCAF
82,775,175_C_57_775,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",775,cords24_ocmzljpb_1,Fibroblast,mCAF
82,776,175_C_57_776,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",776,cords24_ocmzljpb_1,Fibroblast,mCAF
82,797,175_C_57_797,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",797,cords24_ocmzljpb_1,Immune,mCAF
82,834,175_C_57_834,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",834,cords24_ocmzljpb_1,Fibroblast,mCAF
82,837,175_C_57_837,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",837,cords24_ocmzljpb_1,Fibroblast,mCAF
82,839,175_C_57_839,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",839,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,842,175_C_57_842,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",842,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,843,175_C_57_843,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",843,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,846,175_C_57_846,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",846,cords24_ocmzljpb_1,Fibroblast,mCAF
82,847,175_C_57_847,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",847,cords24_ocmzljpb_1,Fibroblast,mCAF
82,853,175_C_57_853,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",853,cords24_ocmzljpb_1,Fibroblast,mCAF
82,859,175_C_57_859,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",859,cords24_ocmzljpb_1,Fibroblast,mCAF
82,862,175_C_57_862,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",862,cords24_ocmzljpb_1,Immune,Neutrophil
82,865,175_C_57_865,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",865,cords24_ocmzljpb_1,Fibroblast,mCAF
82,870,175_C_57_870,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",870,cords24_ocmzljpb_1,Fibroblast,mCAF
82,877,175_C_57_877,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",877,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,880,175_C_57_880,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",880,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,892,175_C_57_892,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",892,cords24_ocmzljpb_1,Fibroblast,mCAF
82,897,175_C_57_897,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",897,cords24_ocmzljpb_1,Fibroblast,mCAF
82,906,175_C_57_906,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",906,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,921,175_C_57_921,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",921,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,934,175_C_57_934,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",934,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,935,175_C_57_935,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",935,cords24_ocmzljpb_1,Fibroblast,mCAF
82,937,175_C_57_937,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",937,cords24_ocmzljpb_1,Fibroblast,Neutrophil
82,942,175_C_57_942,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",942,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,945,175_C_57_945,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",945,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,952,175_C_57_952,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",952,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,960,175_C_57_960,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",960,cords24_ocmzljpb_1,Immune,mCAF
82,975,175_C_57_975,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",975,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,979,175_C_57_979,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",979,cords24_ocmzljpb_1,Fibroblast,mCAF
82,985,175_C_57_985,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",985,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,989,175_C_57_989,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",989,cords24_ocmzljpb_1,Fibroblast,mCAF
82,991,175_C_57_991,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",991,cords24_ocmzljpb_1,Fibroblast,mCAF
82,992,175_C_57_992,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",992,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1001,175_C_57_1001,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1001,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1006,175_C_57_1006,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1006,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1007,175_C_57_1007,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1007,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1023,175_C_57_1023,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1023,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1048,175_C_57_1048,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1048,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1052,175_C_57_1052,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1052,cords24_ocmzljpb_1,Fibroblast,Neutrophil
82,1058,175_C_57_1058,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",1058,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1072,175_C_57_1072,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1072,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1087,175_C_57_1087,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1087,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1094,175_C_57_1094,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1094,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1100,175_C_57_1100,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1100,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1104,175_C_57_1104,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1104,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1126,175_C_57_1126,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1126,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1130,175_C_57_1130,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1130,cords24_ocmzljpb_1,Fibroblast,Other
82,1140,175_C_57_1140,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1140,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1151,175_C_57_1151,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1151,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1164,175_C_57_1164,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1164,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1173,175_C_57_1173,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1173,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1177,175_C_57_1177,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1177,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1183,175_C_57_1183,Fibroblast,vCAF,vCAF,"175_C4,9","175_C4,9",1183,cords24_ocmzljpb_1,Fibroblast,vCAF
82,1195,175_C_57_1195,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",1195,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1209,175_C_57_1209,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1209,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1218,175_C_57_1218,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1218,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1221,175_C_57_1221,Fibroblast,vCAF,vCAF,"175_C4,9","175_C4,9",1221,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1223,175_C_57_1223,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1223,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1228,175_C_57_1228,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1228,cords24_ocmzljpb_1,Fibroblast,Myeloid
82,1232,175_C_57_1232,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1232,cords24_ocmzljpb_1,Immune,Bcell
82,1238,175_C_57_1238,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",1238,cords24_ocmzljpb_1,Other,Other
82,1242,175_C_57_1242,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1242,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1249,175_C_57_1249,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",1249,cords24_ocmzljpb_1,Immune,Myeloid
82,1256,175_C_57_1256,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1256,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1257,175_C_57_1257,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1257,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1258,175_C_57_1258,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1258,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1274,175_C_57_1274,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1274,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1275,175_C_57_1275,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1275,cords24_ocmzljpb_1,Fibroblast,Bcell
82,1279,175_C_57_1279,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1279,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1281,175_C_57_1281,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",1281,cords24_ocmzljpb_1,Immune,Myeloid
82,1292,175_C_57_1292,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1292,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1295,175_C_57_1295,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1295,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1297,175_C_57_1297,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1297,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1299,175_C_57_1299,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1299,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1308,175_C_57_1308,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1308,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1310,175_C_57_1310,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1310,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1311,175_C_57_1311,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1311,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1313,175_C_57_1313,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1313,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1322,175_C_57_1322,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1322,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1324,175_C_57_1324,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1324,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1330,175_C_57_1330,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1330,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1332,175_C_57_1332,Fibroblast,vCAF,vCAF,"175_C4,9","175_C4,9",1332,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1338,175_C_57_1338,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1338,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1339,175_C_57_1339,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1339,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1340,175_C_57_1340,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1340,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1344,175_C_57_1344,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1344,cords24_ocmzljpb_1,Immune,Myeloid
82,1360,175_C_57_1360,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1360,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1364,175_C_57_1364,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1364,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1370,175_C_57_1370,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1370,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1378,175_C_57_1378,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",1378,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1382,175_C_57_1382,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1382,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1385,175_C_57_1385,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1385,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1390,175_C_57_1390,Fibroblast,Collagen_CAF,Collagen_CAF,"175_C4,9","175_C4,9",1390,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
82,1391,175_C_57_1391,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1391,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1403,175_C_57_1403,Fibroblast,mCAF,mCAF,"175_C4,9","175_C4,9",1403,cords24_ocmzljpb_1,Fibroblast,mCAF
82,1405,175_C_57_1405,Fibroblast,SMA_CAF,SMA_CAF,"175_C4,9","175_C4,9",1405,cords24_ocmzljpb_1,Fibroblast,SMA_CAF
